PID,Process Name,Source IPs,Legitimate Destination IPs,Suspicious Destination IPs,Network Packets
0,System Idle Process,['172.16.12.33'],"['13.105.74.50', '142.250.195.142', '13.107.42.18', '52.182.141.63', '142.250.67.74', '13.107.246.48', '142.250.71.35', '35.186.224.22', '172.217.160.131', '104.18.41.158', '52.109.20.39', '104.18.32.47', '157.240.15.61', '34.120.231.152', '13.107.246.68', '142.250.196.4', '8.8.4.4', '172.64.146.98', '142.250.183.238', '142.250.195.42', '142.250.196.10', '20.135.4.163', '72.25.64.32', '142.250.77.170', '52.123.253.99', '18.161.229.115', '142.250.205.234', '131.253.33.203', '172.217.166.99', '13.107.42.16', '20.207.73.85', '142.250.195.174', '142.250.193.99', '52.231.186.36', '8.8.8.8', '142.250.182.227', '35.186.224.24', '142.250.193.170', '13.107.137.11', '20.24.125.47', '52.239.175.4', '152.199.40.78', '142.250.195.238', '13.107.5.93', '117.18.232.200', '52.68.213.128', '13.113.129.253', '142.250.195.234']",[],72
4,System,"['169.254.16.101', '::', '172.16.12.33', '0.0.0.0', '192.168.137.1', '169.254.186.76', '169.254.127.176']",[],[],17
172,,[],[],[],0
228,Registry,[],[],[],0
1280,Spotify.exe,[],[],[],0
1644,Spotify.exe,"['::', '0.0.0.0', '172.16.12.33']","['35.186.224.40', '104.154.127.126']",[],13
2460,Spotify.exe,[],[],[],0
2584,igfxCUIService.exe,[],[],[],0
3148,nvcontainer.exe,[],[],[],0
3172,Spotify.exe,[],[],[],0
3564,NVDisplay.Container.exe,[],[],[],0
4000,NVDisplay.Container.exe,[],[],[],0
5980,igfxEM.exe,[],[],[],0
6252,vmnat.exe,[],[],[],0
6272,vmware-usbarbitrator64.exe,[],[],[],0
6528,ACCSvc.exe,[],[],[],0
6540,armsvc.exe,[],[],[],0
6564,IntelCpHDCPSvc.exe,[],[],[],0
6572,httpd.exe,"['::', '0.0.0.0']",[],[],2
6596,xTendUtility.exe,[],[],[],0
6604,Bridge_Service.exe,['127.0.0.1'],[],[],2
6620,OneApp.IGCC.WinService.exe,"['::', '0.0.0.0']",[],[],2
6628,DtsApo4Service.exe,[],[],[],0
6636,nssm.exe,[],[],[],0
6644,GTFidoService.exe,[],[],[],0
6676,KillerAnalyticsService.exe,[],[],[],0
6684,jhi_service.exe,['::1'],[],[],1
6704,WsidService.exe,['0.0.0.0'],[],[],1
6716,LMS.exe,[],[],[],0
6796,NortonSecurity.exe,['172.16.12.33'],['40.117.192.222'],[],1
6804,nvcontainer.exe,"['fe80::4204:a4bf:facc:8831', '169.254.16.101', '::', '127.0.0.1', '172.16.12.33', '0.0.0.0', 'fe80::7c81:47df:4650:6838', '192.168.137.1', '169.254.186.76', 'fe80::79cb:b976:63a8:d3b0', '169.254.127.176']",['127.0.0.1'],[],13
6820,mysqld.exe,[],[],[],0
6880,mysqld.exe,"['::', '0.0.0.0', '127.0.0.1']",['127.0.0.1'],[],8
6896,nsWscSvc.exe,[],[],[],0
6924,esif_uf.exe,[],[],[],0
6972,RstMwService.exe,[],[],[],0
7048,RtkAudUService64.exe,[],[],[],0
7084,vmware-authd.exe,['0.0.0.0'],[],[],2
7096,SafeExamBrowser.Service.exe,[],[],[],0
7140,vmnetdhcp.exe,[],[],[],0
7372,XtuService.exe,[],[],[],0
7420,KillerNetworkService.exe,[],[],[],0
7472,CptService.exe,[],[],[],0
7528,KAPSService.exe,[],[],[],0
7708,expressvpnd.exe,['127.0.0.1'],[],[],1
8144,IntelCpHeciSvc.exe,[],[],[],0
8300,PSAdminAgent.exe,[],[],[],0
8336,NortonSecurity.exe,[],[],[],0
8384,QAAgent.exe,[],[],[],0
8740,python.exe,['172.16.12.33'],['74.125.34.46'],[],1
8872,xTendUtilityService.exe,[],[],[],0
9452,KAPS.exe,[],[],[],0
10672,httpd.exe,[],[],[],0
10812,NVIDIA Web Helper.exe,['127.0.0.1'],['127.0.0.1'],[],3
10920,NVIDIA Share.exe,[],[],[],0
11024,PSSvc.exe,[],[],[],0
11468,PSAgent.exe,[],[],[],0
11820,RtkAudUService64.exe,[],[],[],0
12188,nvcontainer.exe,['127.0.0.1'],[],[],1
14000,dptf_helper.exe,[],[],[],0
14368,IGCCTray.exe,[],[],[],0
14712,NVIDIA Share.exe,[],[],[],0
14752,nvsphelper64.exe,[],[],[],0
14768,NVIDIA Share.exe,['127.0.0.1'],['127.0.0.1'],[],1
14860,QASvc.exe,[],[],[],0
14868,KillerControlCenter.exe,[],[],[],0
15024,pet.exe,[],[],[],0
15076,Spotify.exe,['172.16.12.33'],"['35.186.224.24', '142.250.70.106', '35.186.224.45']",[],3
15780,IGCC.exe,[],[],[],0
16068,Spotify.exe,[],[],[],0
16420,QAAdminAgent.exe,[],[],[],0
16644,igfxext.exe,[],[],[],0
17808,WhatsApp.exe,['172.16.12.33'],"['157.240.15.61', '1.38.8.162']",[],2
